,State,County,TotalPop,UnderEighteen,SixtyFivePlus,PedAshtma,AAshthma,COPD,HeartDisease,EverSmoker,NonWhite,Poverty,LC
1952,NC,Moore County,"98,682","21,026","23,628","2,416","7,258","7,089","9,688","34,564","22,450","10,263",65
1953,NC,Nash County,"94,016","20,572","17,426","2,364","6,934","6,364","8,193","32,167","47,598","13,024",62
1954,NC,New Hanover County,"232,274","42,800","41,211","4,918","17,874","15,269","19,425","81,538","52,600","34,250",154
1955,NC,Northampton County,"19,676","3,418","5,090",392,"1,522","1,558","2,126","7,327","12,029","4,043",13
1956,NC,Onslow County,"197,683","48,417","18,266","5,563","14,132","9,093","10,368","60,425","67,407","26,562",135
1957,NC,Orange County,"146,027","28,705","20,439","3,298","11,120","8,853","10,754","49,654","44,921","17,045",97
1958,NC,Pamlico County,"12,670","1,879","3,779",215,"1,005","1,067","1,496","4,912","3,262","1,983",8
1959,NC,Pasquotank County,"39,639","8,822","6,690","1,013","2,912","2,543","3,223","13,332","18,038","6,854",26
1960,NC,Pender County,"62,162","13,781","11,190","1,583","4,578","4,248","5,423","21,248","15,418","9,207",41
1961,NC,Perquimans County,"13,422","2,462","3,603",282,"1,024","1,065","1,470","4,960","3,726","2,108",8
1962,NC,Person County,"39,507","8,260","7,725",949,"2,951","2,804","3,629","13,807","13,402","5,773",26
1963,NC,Pitt County,"179,914","38,347","23,789","4,406","13,404","10,273","12,421","59,411","82,137","40,201",119
1964,NC,Polk County,"20,611","3,307","6,408",380,"1,608","1,760","2,495","7,943","2,545","2,389",13
1965,NC,Randolph County,"143,351","32,263","25,440","3,707","10,509","9,656","12,314","48,667","30,401","19,631",95
1966,NC,Richmond County,"44,887","10,265","8,056","1,179","3,268","2,953","3,791","15,104","19,466","8,698",30
1967,NC,Robeson County,"131,831","32,729","20,065","3,761","9,382","8,038","10,035","42,672","98,808","31,143",87
1968,NC,Rockingham County,"90,690","18,387","18,552","2,112","6,822","6,562","8,560","32,051","25,083","16,003",60
1969,NC,Rowan County,"141,262","31,407","24,830","3,609","10,386","9,385","11,958","47,925","40,038","22,298",94
1970,NC,Rutherford County,"66,826","13,786","14,421","1,584","4,992","4,859","6,427","23,585","11,353","12,538",44
1971,NC,Sampson County,"63,626","15,461","11,336","1,776","4,546","4,132","5,316","21,043","31,602","14,243",42
1972,NC,Scotland County,"34,810","7,884","6,369",905,"2,538","2,279","2,942","11,729","19,778","8,637",23
1973,NC,Stanly County,"62,075","13,388","11,733","1,538","4,593","4,225","5,460","21,335","12,028","7,924",41
1974,NC,Stokes County,"45,467","8,522","9,668",979,"3,487","3,414","4,464","16,454","4,013","5,455",30
1975,NC,Surry County,"71,948","15,195","14,744","1,746","5,347","5,103","6,689","25,107","11,785","11,351",48
1976,NC,Swain County,"14,245","3,148","2,729",361,"1,045",957,"1,244","4,857","5,509","2,124",9
1977,NC,Transylvania County,"34,215","5,342","10,445",613,"2,680","2,827","4,012","13,117","3,340","4,277",22
1978,NC,Tyrrell County,"4,131",770,799,88,316,282,365,"1,462","2,087",880,2
1979,NC,Union County,"235,908","63,295","29,928","7,273","16,454","14,175","17,062","74,407","66,941","16,361",157
1980,NC,Vance County,"44,582","10,521","8,244","1,209","3,213","2,956","3,824","14,927","27,106","11,585",29
1981,NC,Wake County,"1,092,305","261,531","126,886","30,054","79,103","62,736","74,033","351,225","438,820","89,819",729
1982,NC,Warren County,"19,807","3,647","5,032",419,"1,512","1,528","2,088","7,258","12,232","3,750",13
1983,NC,Washington County,"11,859","2,377","2,889",273,888,897,"1,218","4,258","6,602","2,470",7
1984,NC,Watauga County,"55,945","7,177","8,853",824,"4,601","3,492","4,308","20,428","4,682","10,608",37
1985,NC,Wayne County,"123,248","29,181","20,266","3,353","8,889","7,732","9,786","40,655","57,806","24,470",82
