,Unnamed: 0,State,County,TotalPop,UnderEighteen,SixtyFivePlus,PedAshtma,AAshthma,COPD,HeartDisease,EverSmoker,NonWhite,Poverty,LC
558,558,ID,Boise County,7634.0,"1,291","1,919",92.0,541.0,443,659,"2,613",734.0,974.0,3
559,559,ID,Bonner County,44727.0,"8,813","10,973",630.0,3052.0,"2,402","3,627","14,555",3182.0,6240.0,21
560,560,ID,Bonneville County,116854.0,"35,940","15,543",2572.0,6952.0,"4,338","6,054","30,404",20221.0,12262.0,56
561,561,ID,Boundary County,11948.0,"2,761","2,691",197.0,781.0,600,900,"3,691",1191.0,1603.0,5
562,562,ID,Butte County,2611.0,626,612,44.0,168.0,131,199,801,226.0,392.0,1
563,563,ID,Camas County,1127.0,263,253,18.0,73.0,57,85,348,134.0,109.0,0
564,564,ID,Canyon County,223499.0,"63,627","30,762",4553.0,13744.0,"8,651","12,056","60,253",66818.0,25416.0,107
565,565,ID,Caribou County,7060.0,"2,020","1,234",144.0,430.0,297,434,"1,954",569.0,624.0,3
566,566,ID,Cassia County,23864.0,"7,572","3,391",541.0,1397.0,899,"1,274","6,179",7300.0,3046.0,11
567,567,ID,Clark County,852.0,198,151,14.0,55.0,37,54,251,416.0,132.0,0
568,568,ID,Clearwater County,8758.0,"1,457","2,389",104.0,618.0,497,763,"2,979",893.0,1242.0,4
569,569,ID,Custer County,4280.0,743,"1,243",53.0,298.0,249,387,"1,461",356.0,625.0,2
570,570,ID,Elmore County,27259.0,"6,954","3,674",497.0,1744.0,"1,046","1,450","7,536",7508.0,3435.0,13
571,571,ID,Franklin County,13726.0,"4,380","1,943",313.0,802.0,522,738,"3,559",1228.0,1194.0,6
572,572,ID,Fremont County,13168.0,"3,390","2,213",242.0,837.0,567,813,"3,771",1980.0,1940.0,6
573,573,ID,Gem County,17634.0,"4,029","3,863",288.0,1158.0,876,"1,306","5,438",2183.0,2338.0,8
574,574,ID,Gooding County,15196.0,"4,174","2,627",298.0,942.0,652,943,"4,277",4978.0,2071.0,7
575,575,ID,Idaho County,16513.0,"3,259","4,606",233.0,1117.0,917,"1,428","5,439",1538.0,2587.0,7
576,576,ID,Jefferson County,29439.0,"10,040","3,385",718.0,1671.0,"1,020","1,395","7,246",3965.0,2657.0,14
577,577,ID,Jerome County,24015.0,"7,394","3,117",529.0,1431.0,903,"1,250","6,273",9335.0,2974.0,11
578,578,ID,Kootenai County,161505.0,"36,824","30,670",2635.0,10659.0,"7,495","10,906","48,653",15428.0,16417.0,77
579,579,ID,Latah County,40134.0,"7,624","5,406",545.0,2790.0,"1,556","2,141","11,800",4700.0,4737.0,19
580,580,ID,Lemhi County,7961.0,"1,488","2,409",106.0,543.0,458,725,"2,679",533.0,1154.0,3
581,581,ID,Lewis County,3861.0,874,"1,018",62.0,252.0,206,319,"1,225",644.0,542.0,1
582,582,ID,Lincoln County,5360.0,"1,549",758,110.0,327.0,211,295,"1,448",1810.0,731.0,2
583,583,ID,Madison County,39304.0,"10,565","2,738",756.0,2477.0,"1,080","1,359","9,773",4662.0,9232.0,18
584,584,ID,Minidoka County,20825.0,"5,905","3,387",422.0,1277.0,857,"1,233","5,735",8016.0,2577.0,10
585,585,ID,Nez Perce County,40408.0,"8,568","8,061",613.0,2716.0,"1,911","2,805","12,417",5301.0,5223.0,19
586,586,ID,Oneida County,4488.0,"1,269",912,90.0,273.0,204,305,"1,280",305.0,502.0,2
587,587,ID,Owyhee County,11693.0,"3,040","2,082",217.0,740.0,520,752,"3,378",3677.0,1692.0,5
588,588,ID,Payette County,23551.0,"6,171","4,331",441.0,1485.0,"1,052","1,534","6,798",5101.0,2988.0,11
589,589,ID,Power County,7768.0,"2,427","1,199",173.0,457.0,308,441,"2,055",3080.0,1056.0,3
590,590,ID,Shoshone County,12796.0,"2,630","2,923",188.0,865.0,661,988,"4,079",1140.0,2371.0,6
591,591,ID,Teton County,11640.0,"2,863","1,457",204.0,759.0,478,642,"3,315",2193.0,888.0,5
592,592,ID,Twin Falls County,86081.0,"23,677","13,252",1694.0,5347.0,"3,456","4,919","23,693",18433.0,11547.0,41
593,593,ID,Valley County,11041.0,"2,000","2,772",143.0,767.0,603,912,"3,660",891.0,921.0,5
594,594,ID,Washington County,10161.0,"2,303","2,554",164.0,664.0,526,809,"3,185",2119.0,1537.0,4
595,595,IL,Adams County,65691.0,"14,779","13,290",887.0,4405.0,"3,715","4,806","20,066",5551.0,7803.0,41
596,596,IL,Alexander County,6060.0,"1,398","1,328",83.0,402.0,359,472,"1,873",2230.0,1650.0,3
597,597,IL,Bond County,16630.0,"3,234","3,086",194.0,1163.0,933,"1,189","5,212",2046.0,2075.0,10
598,598,IL,Boone County,53577.0,"13,283","8,484",797.0,3507.0,"2,754","3,491","15,636",14919.0,4909.0,33
599,599,IL,Brown County,6556.0,"1,041",913,62.0,482.0,335,406,"2,063",1723.0,674.0,4
600,600,IL,Bureau County,32993.0,"7,078","7,231",425.0,2237.0,"1,955","2,556","10,324",4163.0,3751.0,20
601,601,IL,Calhoun County,4802.0,991,"1,121",59.0,328.0,297,392,"1,535",131.0,520.0,3
602,602,IL,Carroll County,14312.0,"2,773","3,651",166.0,991.0,917,"1,217","4,667",1000.0,1598.0,9
603,603,IL,Cass County,12260.0,"2,918","2,188",175.0,810.0,656,839,"3,646",3012.0,1448.0,7
604,604,IL,Champaign County,209983.0,"39,434","26,930",2367.0,14951.0,"9,929","11,800","62,828",69623.0,37121.0,132
